Alive Check — starting...
  Pending: 5220 sites

  1290/5220 (24.7%) | alive=1126 dead=164 | 580.8s | ETA 1769s
  1305/5220 (25.0%) | alive=1139 dead=166 | 596.8s | ETA 1790s
  1320/5220 (25.3%) | alive=1152 dead=168 | 600.0s | ETA 1773s
  1335/5220 (25.6%) | alive=1163 dead=172 | 616.0s | ETA 1793s
  1350/5220 (25.9%) | alive=1177 dead=173 | 619.9s | ETA 1777s
  1365/5220 (26.1%) | alive=1188 dead=177 | 623.1s | ETA 1760s
  1380/5220 (26.4%) | alive=1201 dead=179 | 639.1s | ETA 1778s
  1395/5220 (26.7%) | alive=1210 dead=185 | 655.1s | ETA 1796s
  1410/5220 (27.0%) | alive=1220 dead=190 | 671.2s | ETA 1814s
  1425/5220 (27.3%) | alive=1232 dead=193 | 683.0s | ETA 1819s
  1440/5220 (27.6%) | alive=1241 dead=199 | 687.2s | ETA 1804s
  1455/5220 (27.9%) | alive=1252 dead=203 | 691.5s | ETA 1789s
  1470/5220 (28.2%) | alive=1263 dead=207 | 695.5s | ETA 1774s
  1485/5220 (28.4%) | alive=1277 dead=208 | 699.9s | ETA 1760s
  1500/5220 (28.7%) | alive=1289 dead=211 | 703.6s | ETA 1745s
  1515/5220 (29.0%) | alive=1297 dead=218 | 719.6s | ETA 1760s
  1530/5220 (29.3%) | alive=1311 dead=219 | 722.1s | ETA 1742s
  1545/5220 (29.6%) | alive=1322 dead=223 | 731.8s | ETA 1741s
  1560/5220 (29.9%) | alive=1333 dead=227 | 734.6s | ETA 1723s
  1575/5220 (30.2%) | alive=1346 dead=229 | 750.6s | ETA 1737s
  1590/5220 (30.5%) | alive=1356 dead=234 | 766.7s | ETA 1750s
  1605/5220 (30.7%) | alive=1367 dead=238 | 782.7s | ETA 1763s
  1620/5220 (31.0%) | alive=1379 dead=241 | 788.4s | ETA 1752s
  1635/5220 (31.3%) | alive=1388 dead=247 | 791.0s | ETA 1734s
  1650/5220 (31.6%) | alive=1398 dead=252 | 807.0s | ETA 1746s
  1665/5220 (31.9%) | alive=1409 dead=256 | 810.7s | ETA 1731s
  1680/5220 (32.2%) | alive=1423 dead=257 | 813.8s | ETA 1715s
  1695/5220 (32.5%) | alive=1434 dead=261 | 817.4s | ETA 1700s
  1710/5220 (32.8%) | alive=1440 dead=270 | 833.4s | ETA 1711s
  1725/5220 (33.0%) | alive=1450 dead=275 | 839.2s | ETA 1700s
  1740/5220 (33.3%) | alive=1458 dead=282 | 855.2s | ETA 1710s
  1755/5220 (33.6%) | alive=1473 dead=282 | 863.6s | ETA 1705s
  1770/5220 (33.9%) | alive=1485 dead=285 | 879.6s | ETA 1714s
  1785/5220 (34.2%) | alive=1498 dead=287 | 883.0s | ETA 1699s
  1800/5220 (34.5%) | alive=1511 dead=289 | 885.4s | ETA 1682s
  1815/5220 (34.8%) | alive=1524 dead=291 | 890.3s | ETA 1670s
  1830/5220 (35.1%) | alive=1537 dead=293 | 893.1s | ETA 1654s
  1845/5220 (35.3%) | alive=1552 dead=293 | 897.5s | ETA 1642s
  1860/5220 (35.6%) | alive=1564 dead=296 | 913.5s | ETA 1650s
  1875/5220 (35.9%) | alive=1575 dead=300 | 929.6s | ETA 1658s
  1890/5220 (36.2%) | alive=1587 dead=303 | 945.6s | ETA 1666s
  1905/5220 (36.5%) | alive=1596 dead=309 | 958.2s | ETA 1667s
  1920/5220 (36.8%) | alive=1606 dead=314 | 964.3s | ETA 1657s
  1935/5220 (37.1%) | alive=1619 dead=316 | 970.0s | ETA 1647s
  1950/5220 (37.4%) | alive=1629 dead=321 | 986.1s | ETA 1654s
  1965/5220 (37.6%) | alive=1641 dead=324 | 1002.1s | ETA 1660s
  1980/5220 (37.9%) | alive=1653 dead=327 | 1018.1s | ETA 1666s
  1995/5220 (38.2%) | alive=1664 dead=331 | 1021.7s | ETA 1652s
  2010/5220 (38.5%) | alive=1675 dead=335 | 1024.8s | ETA 1637s
  2025/5220 (38.8%) | alive=1685 dead=340 | 1040.8s | ETA 1642s
  2040/5220 (39.1%) | alive=1698 dead=342 | 1043.6s | ETA 1627s
  2055/5220 (39.4%) | alive=1709 dead=346 | 1059.7s | ETA 1632s
  2070/5220 (39.7%) | alive=1721 dead=349 | 1075.7s | ETA 1637s
  2085/5220 (39.9%) | alive=1736 dead=349 | 1079.0s | ETA 1622s
  2100/5220 (40.2%) | alive=1745 dead=355 | 1082.2s | ETA 1608s
  2115/5220 (40.5%) | alive=1758 dead=357 | 1084.0s | ETA 1591s
  2130/5220 (40.8%) | alive=1767 dead=363 | 1100.0s | ETA 1596s
  2145/5220 (41.1%) | alive=1778 dead=367 | 1103.0s | ETA 1581s
  2160/5220 (41.4%) | alive=1789 dead=371 | 1119.0s | ETA 1585s
  2175/5220 (41.7%) | alive=1800 dead=375 | 1135.1s | ETA 1589s
  2190/5220 (42.0%) | alive=1813 dead=377 | 1138.1s | ETA 1575s
  2205/5220 (42.2%) | alive=1820 dead=385 | 1154.2s | ETA 1578s
  2220/5220 (42.5%) | alive=1830 dead=390 | 1165.4s | ETA 1575s
  2235/5220 (42.8%) | alive=1840 dead=395 | 1181.4s | ETA 1578s
  2250/5220 (43.1%) | alive=1847 dead=403 | 1197.4s | ETA 1581s
  2265/5220 (43.4%) | alive=1855 dead=410 | 1213.4s | ETA 1583s
  2280/5220 (43.7%) | alive=1864 dead=416 | 1229.4s | ETA 1585s
  2295/5220 (44.0%) | alive=1874 dead=421 | 1245.5s | ETA 1587s
  2310/5220 (44.3%) | alive=1888 dead=422 | 1261.5s | ETA 1589s
  2325/5220 (44.5%) | alive=1900 dead=425 | 1277.5s | ETA 1591s
  2340/5220 (44.8%) | alive=1915 dead=425 | 1279.9s | ETA 1575s
  2355/5220 (45.1%) | alive=1929 dead=426 | 1283.0s | ETA 1561s
  2370/5220 (45.4%) | alive=1944 dead=426 | 1286.2s | ETA 1547s
  2385/5220 (45.7%) | alive=1959 dead=426 | 1288.8s | ETA 1532s
  2400/5220 (46.0%) | alive=1972 dead=428 | 1292.5s | ETA 1519s
  2415/5220 (46.3%) | alive=1986 dead=429 | 1295.4s | ETA 1505s
  2430/5220 (46.6%) | alive=2000 dead=430 | 1298.1s | ETA 1490s
  2445/5220 (46.8%) | alive=2014 dead=431 | 1306.8s | ETA 1483s
  2460/5220 (47.1%) | alive=2028 dead=432 | 1310.2s | ETA 1470s
  2475/5220 (47.4%) | alive=2043 dead=432 | 1313.4s | ETA 1457s
  2490/5220 (47.7%) | alive=2053 dead=437 | 1329.5s | ETA 1458s
  2505/5220 (48.0%) | alive=2067 dead=438 | 1331.5s | ETA 1443s
  2520/5220 (48.3%) | alive=2078 dead=442 | 1334.2s | ETA 1430s
  2535/5220 (48.6%) | alive=2091 dead=444 | 1350.2s | ETA 1430s
  2550/5220 (48.9%) | alive=2106 dead=444 | 1353.0s | ETA 1417s
  2565/5220 (49.1%) | alive=2119 dead=446 | 1369.0s | ETA 1417s
  2580/5220 (49.4%) | alive=2133 dead=447 | 1385.0s | ETA 1417s
  2595/5220 (49.7%) | alive=2145 dead=450 | 1388.3s | ETA 1404s
  2610/5220 (50.0%) | alive=2160 dead=450 | 1391.0s | ETA 1391s
  2625/5220 (50.3%) | alive=2174 dead=451 | 1407.0s | ETA 1391s
  2640/5220 (50.6%) | alive=2188 dead=452 | 1412.3s | ETA 1380s
  2655/5220 (50.9%) | alive=2202 dead=453 | 1417.7s | ETA 1370s
  2670/5220 (51.1%) | alive=2215 dead=455 | 1420.4s | ETA 1357s
  2685/5220 (51.4%) | alive=2226 dead=459 | 1422.2s | ETA 1343s
  2700/5220 (51.7%) | alive=2240 dead=460 | 1424.3s | ETA 1329s
  2715/5220 (52.0%) | alive=2255 dead=460 | 1426.5s | ETA 1316s
  2730/5220 (52.3%) | alive=2266 dead=464 | 1429.5s | ETA 1304s
  2745/5220 (52.6%) | alive=2280 dead=465 | 1431.5s | ETA 1291s
  2760/5220 (52.9%) | alive=2293 dead=467 | 1434.8s | ETA 1279s
  2775/5220 (53.2%) | alive=2304 dead=471 | 1436.9s | ETA 1266s
  2790/5220 (53.4%) | alive=2319 dead=471 | 1440.3s | ETA 1254s
  2805/5220 (53.7%) | alive=2332 dead=473 | 1456.3s | ETA 1254s
  2820/5220 (54.0%) | alive=2346 dead=474 | 1470.7s | ETA 1252s
  2835/5220 (54.3%) | alive=2360 dead=475 | 1474.2s | ETA 1240s
  2850/5220 (54.6%) | alive=2373 dead=477 | 1477.9s | ETA 1229s
  2865/5220 (54.9%) | alive=2387 dead=478 | 1493.9s | ETA 1228s
  2880/5220 (55.2%) | alive=2402 dead=478 | 1498.0s | ETA 1217s
  2895/5220 (55.5%) | alive=2417 dead=478 | 1500.9s | ETA 1205s
  2910/5220 (55.7%) | alive=2431 dead=479 | 1504.5s | ETA 1194s
  2925/5220 (56.0%) | alive=2445 dead=480 | 1506.8s | ETA 1182s
  2940/5220 (56.3%) | alive=2458 dead=482 | 1509.1s | ETA 1170s
  2955/5220 (56.6%) | alive=2472 dead=483 | 1512.4s | ETA 1159s
  2970/5220 (56.9%) | alive=2483 dead=487 | 1528.4s | ETA 1158s
  2985/5220 (57.2%) | alive=2497 dead=488 | 1543.7s | ETA 1156s
  3000/5220 (57.5%) | alive=2509 dead=491 | 1546.2s | ETA 1144s
  3015/5220 (57.8%) | alive=2522 dead=493 | 1548.2s | ETA 1132s
  3030/5220 (58.0%) | alive=2537 dead=493 | 1551.5s | ETA 1121s
  3045/5220 (58.3%) | alive=2550 dead=495 | 1554.4s | ETA 1110s
  3060/5220 (58.6%) | alive=2563 dead=497 | 1556.7s | ETA 1099s
  3075/5220 (58.9%) | alive=2575 dead=500 | 1560.2s | ETA 1088s
  3090/5220 (59.2%) | alive=2588 dead=502 | 1576.2s | ETA 1087s
  3105/5220 (59.5%) | alive=2601 dead=504 | 1592.2s | ETA 1085s
  3120/5220 (59.8%) | alive=2610 dead=510 | 1608.2s | ETA 1082s
  3135/5220 (60.1%) | alive=2624 dead=511 | 1617.6s | ETA 1076s
  3150/5220 (60.3%) | alive=2637 dead=513 | 1633.7s | ETA 1074s
  3165/5220 (60.6%) | alive=2650 dead=515 | 1644.8s | ETA 1068s
  3180/5220 (60.9%) | alive=2660 dead=520 | 1660.8s | ETA 1065s
  3195/5220 (61.2%) | alive=2671 dead=524 | 1676.9s | ETA 1063s
  3210/5220 (61.5%) | alive=2684 dead=526 | 1679.8s | ETA 1052s
  3225/5220 (61.8%) | alive=2698 dead=527 | 1695.8s | ETA 1049s
  3240/5220 (62.1%) | alive=2712 dead=528 | 1698.5s | ETA 1038s
  3255/5220 (62.4%) | alive=2722 dead=533 | 1714.5s | ETA 1035s
  3270/5220 (62.6%) | alive=2734 dead=536 | 1730.6s | ETA 1032s
  3285/5220 (62.9%) | alive=2745 dead=540 | 1733.6s | ETA 1021s
  3300/5220 (63.2%) | alive=2757 dead=543 | 1749.7s | ETA 1018s
  3315/5220 (63.5%) | alive=2770 dead=545 | 1765.7s | ETA 1015s
  3330/5220 (63.8%) | alive=2780 dead=550 | 1781.7s | ETA 1011s
  3345/5220 (64.1%) | alive=2794 dead=551 | 1787.3s | ETA 1002s
  3360/5220 (64.4%) | alive=2805 dead=555 | 1790.6s | ETA 991s
  3375/5220 (64.7%) | alive=2818 dead=557 | 1792.8s | ETA 980s
  3390/5220 (64.9%) | alive=2830 dead=560 | 1808.8s | ETA 976s
  3405/5220 (65.2%) | alive=2842 dead=563 | 1824.8s | ETA 973s
  3420/5220 (65.5%) | alive=2850 dead=570 | 1827.6s | ETA 962s
  3435/5220 (65.8%) | alive=2863 dead=572 | 1830.2s | ETA 951s
  3450/5220 (66.1%) | alive=2875 dead=575 | 1846.2s | ETA 947s
